RetailerBOM
-----------

"Ref Name","Component","Qty","PartNumber","Retailer","Site"
"D1","1SS352","1","","",""
"CC1","25PK100MEFC5X11","1","","",""
"U2","A3921","1","A3921KLPTR-T","",""
"IC1","ACPL244","1","ACPL-244-500E","",""
"CONN3","B04P-VL","1","B04P-VL-VN-1.8","",""
"CONN1","DF1B-5P-2.5","1","","",""
"TR1","IRLML6344TR","1","IRLML6344TRPBFTR","",""
"TR2","IRLML6344TR","1","IRLML6344TRPBFTR","",""
"Q1","IRLR8726PbF","1","IRLR8726TRPBF","",""
"Q2","IRLR8726PbF","1","IRLR8726TRPBF","",""
"Q3","IRLR8726PbF","1","IRLR8726TRPBF","",""
"Q4","IRLR8726PbF","1","IRLR8726TRPBF","",""
"LED1","LED","1","","",""
"LED2","LED","1","","",""
"R12","RN_4","1","","",""
"D2","SBR15U30SP5","1","SBR15U30SP5","",""
"D3","SBR15U30SP5","1","SBR15U30SP5","",""
"D4","SBR15U30SP5","1","SBR15U30SP5","",""
"D5","SBR15U30SP5","1","SBR15U30SP5","",""
"IC2","TLP2355","1","","",""
"C8","UD pi10","1","","",""
"CONN2","ZH 4P","1","","",""
"","","22","","",""

"Ref Name","Value","Qty","size"
"C1","0.22u","1","1608"
"C2","0.1u","1","1608"
"C3","0.22u","1","1608"
"C4","0.1u","1","1608"
"C5","0.47u","1","2012"
"C6","0.1u","1","1608"
"C7","0.1u","1","1608"
"R1","10","1","1608"
"R2","10","1","1608"
"R3","10","1","1608"
"R4","10","1","1608"
"R5","10k","1","1608"
"R6","10k","1","1608"
"R7","10k","1","1608"
"R8","10k","1","1608"
"R9","10k","1","1608"
"R10","1k","1","1608"
"R11","33k","1","1608"
"R13","0","1","1608"
"R14","1k","1","1608"
"R15","1k","1","1608"
"R17","1k","1","1608"
"R18","1k","1","1608"
"R19","1k","1","1608"
"R21","4.7k","1","1608"
"R22","47k","1","1608"
"R23","1k","1","1608"
"R25","4.7k","1","1608"
"R26","4.7k","1","1608"
"","","29",""
